epoch,train_loss,validation_mae,validation_rmse,validation_r2,validation_pr_auc,lr,seconds,peak_allocated_mib,peak_reserved_mib
1,0.5104910303316678,0.057268671691417694,0.08107268466844382,0.4969058036804199,0.3864192975760298,0.0003,67.708776373,1119.8623046875,2038.0
2,0.40321099413742506,0.04521894454956055,0.06801078335245468,0.6459572315216064,0.5981384561599834,0.0003,55.70616451699999,1107.53662109375,2038.0
3,0.32580396712702314,0.03966216742992401,0.06065871499768023,0.7183650135993958,0.6901986024367082,0.0003,56.532757093000015,1119.8623046875,2038.0
4,0.28916246383247957,0.03674144670367241,0.058115795964825794,0.7414833307266235,0.747489498373507,0.0003,55.77984598199998,1140.2119140625,2038.0
5,0.26212306484447145,0.035291314125061035,0.05665418651616222,0.7543231844902039,0.7664888971971503,0.0003,54.93962834399997,1119.8623046875,2038.0
6,0.24130858940824224,0.03126906976103783,0.053082311708530665,0.7843250036239624,0.8085815506595802,0.0003,56.14375429699999,1107.53662109375,2038.0
7,0.22564212175084034,0.030852653086185455,0.05226511920803963,0.7909144163131714,0.8125814747683372,0.0003,56.06959438299998,1119.8623046875,2038.0
8,0.214719453376152,0.030624059960246086,0.050691727443141064,0.8033136129379272,0.8439281585469359,0.0003,58.06719374499994,1129.92333984375,2038.0
9,0.20557570935508562,0.029208380728960037,0.05124552482599144,0.7989925742149353,0.830706644307166,0.0003,56.62075600100002,1129.92333984375,2038.0
10,0.19651972283566513,0.02747500129044056,0.04889888880939353,0.8169801831245422,0.8542980713121507,0.0003,66.99888256899999,1157.12255859375,2038.0
11,0.1913672060246085,0.027546189725399017,0.047879028709344025,0.8245348930358887,0.8584471682547885,0.0003,58.13491831199997,1107.53662109375,2038.0
12,0.18276386502968758,0.026925336569547653,0.04792525251881816,0.824195921421051,0.8654169806029341,0.0003,56.17133581500002,1119.8623046875,2038.0
13,0.17779668737350285,0.02583231031894684,0.04632139625864234,0.8357658386230469,0.8669528528815741,0.0003,57.17881367100006,1107.53662109375,2038.0
14,0.17052526716992208,0.026777993887662888,0.04640392937862508,0.8351800441741943,0.8670392273754988,0.0003,66.67658555399998,1140.2119140625,2038.0
15,0.1660313299441664,0.02452806942164898,0.0435790281001308,0.854636549949646,0.8837416451983514,0.0003,60.45495623199997,1129.92333984375,2038.0
