epoch,train_loss,validation_mae,validation_rmse,validation_r2,validation_pr_auc,lr,seconds,peak_allocated_mib,peak_reserved_mib
1,0.5331901101786922,0.05907723680138588,0.08400664200681734,0.4598338007926941,0.40216674583520207,0.0003,30.61914060700019,2110.14111328125,3306.0
2,0.4473895580456224,0.05174993723630905,0.07376333476799704,0.5835323333740234,0.4776143316803824,0.0003,30.08044062800036,2146.7734375,3306.0
3,0.3869642649646561,0.04551098495721817,0.06776468250660654,0.6485148668289185,0.5950735016707346,0.0003,31.48472431800019,2138.59033203125,3306.0
4,0.3470317491887877,0.04271154850721359,0.06607731879255074,0.6658011078834534,0.6536321305466428,0.0003,31.388429550999717,2120.34619140625,3306.0
5,0.3229498905409911,0.04014131799340248,0.06309545256248027,0.6952832937240601,0.6736985468268782,0.0003,31.417044345999784,2120.34619140625,3306.0
6,0.3006252700914736,0.03802996873855591,0.06148824745013955,0.7106094360351562,0.7105972137994891,0.0003,31.71842597199975,2146.7734375,3306.0
7,0.28319367065215256,0.03668523579835892,0.058070278330530745,0.7418881058692932,0.7229201110306531,0.0003,31.51832741599992,2174.28515625,3306.0
8,0.27084507169233557,0.03622216731309891,0.05711270167724161,0.7503304481506348,0.7518797805558451,0.0003,31.250246005999543,2123.541015625,3306.0
9,0.25594065970189156,0.03476657345890999,0.05635514746706778,0.7569098472595215,0.7871899803704739,0.0003,30.91895486300018,2120.34619140625,3306.0
10,0.25095629228627375,0.03303699940443039,0.05511634925715839,0.7674795985221863,0.7874759499709489,0.0003,31.41138438500002,2138.59033203125,3306.0
11,0.23881464288052326,0.03211585059762001,0.05454319195687019,0.7722904682159424,0.7955229105927522,0.0003,31.159031254000183,2129.462890625,3306.0
12,0.2355907433405996,0.03203411027789116,0.05319326796785572,0.7834224104881287,0.8102201250381096,0.0003,31.13811851399987,2157.21240234375,3306.0
13,0.2237464368564222,0.03244251757860184,0.05262639549598439,0.7880138754844666,0.8200602509560488,0.0003,31.108947949999674,2129.462890625,3306.0
14,0.21803475110963008,0.03189096599817276,0.051614161641880804,0.7960902452468872,0.8234716167689871,0.0003,31.212477320999824,2138.59033203125,3306.0
15,0.21208034555728733,0.029773350805044174,0.05209810027749658,0.7922486066818237,0.8348443650121662,0.0003,30.98896612899989,2189.2119140625,3306.0
16,0.20562335297946369,0.029036080464720726,0.051175321579390066,0.7995429635047913,0.8350610285614363,0.0003,31.079454362999968,2138.59033203125,3306.0
17,0.19969210107824248,0.02822338230907917,0.04921850316046322,0.8145798444747925,0.8293942342426831,0.0003,31.07703169599972,2157.21240234375,3306.0
18,0.19414430457456164,0.027386058121919632,0.04863591509807577,0.8189433813095093,0.8386567378234318,0.0003,31.06561120600054,2157.21240234375,3306.0
19,0.19065040320386362,0.02733157016336918,0.0482391479051987,0.8218854069709778,0.8456030839321157,0.0003,31.008575955000197,2176.1181640625,3306.0
20,0.18825889669191206,0.027522854506969452,0.048386447770695014,0.820796012878418,0.8421394620779703,0.0003,30.92309532499985,2138.59033203125,3306.0
21,0.18344951889432864,0.026764437556266785,0.048070537935184336,0.8231284022331238,0.8632521417292596,0.0003,31.20144194600016,2169.98193359375,3306.0
22,0.17912603400936827,0.026814822107553482,0.04692468146224044,0.8314600586891174,0.8645432309201254,0.0003,31.084728941999856,2138.59033203125,3306.0
23,0.17423497090618478,0.02670413628220558,0.047547662348156196,0.8269551992416382,0.8734031179242023,0.0003,31.076622978999694,2129.462890625,3306.0
24,0.17163951293096338,0.025610316544771194,0.04574151810694586,0.8398520946502686,0.8769876734845559,0.0003,31.38548250199983,2129.462890625,3306.0
