candidate_id,material_id,composition,parent_structure_id,research_role,selection_category,dft_selection_role,tilt_pattern,nominal_tilt_deg,A_site_ordering,B_site_ordering,space_group,structure_path,ensemble_mean,ensemble_std,parent_decomposition_energy_per_atom,actual_bob_mean_deg,actual_bob_std_deg,bo_length_mean_ang,bo_length_std_ang,minimum_distance_ang,prediction_seed_123,prediction_seed_2026,prediction_seed_3407,prediction_seed_42,prediction_seed_7777
63470b2f660f1387211b8cd7_p01,63470b2f660f1387211b8cd7,BaBiCoFeO6,63470b2f660f1387211b8cd6,development,unstable_negative_control_gt_0.20,parent_reference,original,original,original,original,F-43m,step4/candidates/63470b2f660f1387211b8cd7_p01.cif,0.2360094368457794,0.0011943659046664834,0.209532,180.0,0.0,1.9097525,0.016041921000000323,1.8937105789999995,0.23546980321407318,0.23684364557266235,0.23731783032417297,0.23613592982292175,0.23427997529506683
63470b2f660f1387211b8cd7_p10,63470b2f660f1387211b8cd7,BaBiCoFeO6,63470b2f660f1387211b8cd6,development,unstable_negative_control_gt_0.20,gnn_lowest_energy,a0a0c+,12.0,rocksalt,rocksalt,P-4n2,step4/candidates/63470b2f660f1387211b8cd7_p10.cif,0.14035918116569518,0.01986907422542572,0.209532,164.33982190699302,11.073418124154239,1.9369791754864512,0.01925216686563539,1.9097524999999989,0.140253484249115,0.16805115342140198,0.1493680775165558,0.11651630699634552,0.12760688364505768
63470b2f660f1387211b8cd7_p04,63470b2f660f1387211b8cd7,BaBiCoFeO6,63470b2f660f1387211b8cd6,development,unstable_negative_control_gt_0.20,gnn_highest_uncertainty,a0a0c-,12.0,rocksalt,rocksalt,I-4,step4/candidates/63470b2f660f1387211b8cd7_p04.cif,0.14099044501781463,0.019190162420272827,0.209532,164.33982190699305,11.073418124154239,1.9369791754864514,0.01925216686563539,1.9097524999999989,0.14113661646842957,0.16800236701965332,0.14929789304733276,0.11848965287208557,0.12802569568157196
63470b2f660f1387211b8cd7_p06,63470b2f660f1387211b8cd7,BaBiCoFeO6,63470b2f660f1387211b8cd6,development,unstable_negative_control_gt_0.20,random_control,a-a-a-,12.0,rocksalt,rocksalt,R3,step4/candidates/63470b2f660f1387211b8cd7_p06.cif,0.15078651607036592,0.013212954625487328,0.209532,147.90458638315906,0.2746014830978236,1.9871943525704687,0.009621473094514048,1.9706787892224333,0.14433124661445618,0.15013059973716736,0.16535617411136627,0.16148188710212708,0.13263267278671265
63470f25660f1387211ba8ff_p01,63470f25660f1387211ba8ff,GdInCoVO6,63470f25660f1387211ba8fd,development,near_stable_0.05_0.10,parent_reference,original,original,original,original,P-1,step4/candidates/63470f25660f1387211ba8ff_p01.cif,0.11144162565469742,0.02821926958858967,0.0892338,142.62749759829043,0.45089600539897157,2.016100040900596,0.08235771875894252,1.9318621375542133,0.09999915212392807,0.0938587486743927,0.08591847121715546,0.12130869925022125,0.1561230570077896
63470f25660f1387211ba8ff_p07,63470f25660f1387211ba8ff,GdInCoVO6,63470f25660f1387211ba8fd,development,near_stable_0.05_0.10,gnn_lowest_energy,a-a-c+,6.0,rocksalt,rocksalt,Pc,step4/candidates/63470f25660f1387211ba8ff_p07.cif,0.14038827270269394,0.02994522824883461,0.0892338,163.24273266697267,0.021427874922895607,1.9295839026420083,0.0012465164083688626,1.927351696268086,0.1546512097120285,0.11623955518007278,0.10303449630737305,0.15198343992233276,0.1760326623916626
63470f25660f1387211ba8ff_p05,63470f25660f1387211ba8ff,GdInCoVO6,63470f25660f1387211ba8fd,development,near_stable_0.05_0.10,gnn_highest_uncertainty,a-a-a-,6.0,rocksalt,rocksalt,R3,step4/candidates/63470f25660f1387211ba8ff_p05.cif,0.1705007016658783,0.04446284472942352,0.0892338,163.27292765074517,0.0369812312576523,1.929509154940954,0.0012487438267723427,1.927351696268086,0.1520126909017563,0.12608690559864044,0.1551600694656372,0.24351227283477783,0.1757315695285797
63470f25660f1387211ba8ff_p03,63470f25660f1387211ba8ff,GdInCoVO6,63470f25660f1387211ba8fd,development,near_stable_0.05_0.10,random_control,a0a0c-,6.0,rocksalt,rocksalt,I-4,step4/candidates/63470f25660f1387211ba8ff_p03.cif,0.1609353393316269,0.02254512906074524,0.0892338,172.04350774306172,5.626089629339291,1.915922702735232,0.004902920171563457,1.908988926533374,0.19206032156944275,0.1459830105304718,0.1346493661403656,0.17301705479621887,0.15896694362163544
63470f75660f1387211bab33_p01,63470f75660f1387211bab33,EuGdSbWO6,63470f75660f1387211bab32,development,higher_energy_0.10_0.15,parent_reference,original,original,original,original,Pc,step4/candidates/63470f75660f1387211bab33_p01.cif,0.2146001398563385,0.04530319944024086,0.123133,146.3315511399411,0.3423978997355366,2.1205455537806044,0.11968122664436096,1.9998546362049332,0.14567510783672333,0.23975814878940582,0.19200322031974792,0.25530630350112915,0.24025791883468628
63470f75660f1387211bab33_p08,63470f75660f1387211bab33,EuGdSbWO6,63470f75660f1387211bab32,development,higher_energy_0.10_0.15,gnn_lowest_energy,a-a-c+,12.0,rocksalt,rocksalt,Pc,step4/candidates/63470f75660f1387211bab33_p08.cif,0.24379814863204957,0.05648523196578026,0.123133,147.6803782193958,0.15996160109568003,2.11275002561884,0.01015558818360605,2.0940123999207216,0.1903194785118103,0.25050342082977295,0.18328934907913208,0.3122943341732025,0.28258416056632996
63470f75660f1387211bab33_p09,63470f75660f1387211bab33,EuGdSbWO6,63470f75660f1387211bab32,development,higher_energy_0.10_0.15,gnn_highest_uncertainty,a0a0c+,6.0,rocksalt,rocksalt,P-4n2,step4/candidates/63470f75660f1387211bab33_p09.cif,0.3090206503868103,0.07042726874351501,0.123133,172.04350774306172,5.626089629339273,2.0366437486777884,0.005211849989263847,2.0292730797379175,0.20740291476249695,0.36167073249816895,0.2640252113342285,0.3683043122291565,0.3437000811100006
