timestamp,index,name,utilization_gpu_pct,memory_used_mib,memory_total_mib,temperature_c,power_w
2026-09-02T20:21:07.947991+08:00,0, NVIDIA GeForce RTX 5060, 53, 3853, 8151, 58, 74.96
2026-09-02T20:21:13.007189+08:00,0, NVIDIA GeForce RTX 5060, 49, 3858, 8151, 59, 74.47
2026-09-02T20:21:18.039676+08:00,0, NVIDIA GeForce RTX 5060, 12, 3853, 8151, 56, 60.51
2026-09-02T20:21:23.076186+08:00,0, NVIDIA GeForce RTX 5060, 15, 3868, 8151, 51, 37.06
2026-09-02T20:21:28.115791+08:00,0, NVIDIA GeForce RTX 5060, 48, 3858, 8151, 58, 55.44
2026-09-02T20:21:33.166226+08:00,0, NVIDIA GeForce RTX 5060, 45, 3871, 8151, 57, 73.96
2026-09-02T20:21:38.209064+08:00,0, NVIDIA GeForce RTX 5060, 49, 3864, 8151, 57, 73.50
2026-09-02T20:21:43.248661+08:00,0, NVIDIA GeForce RTX 5060, 45, 3873, 8151, 58, 73.45
2026-09-02T20:21:48.285676+08:00,0, NVIDIA GeForce RTX 5060, 43, 3863, 8151, 59, 73.10
2026-09-02T20:21:53.328144+08:00,0, NVIDIA GeForce RTX 5060, 53, 3862, 8151, 57, 74.89
2026-09-02T20:21:58.360259+08:00,0, NVIDIA GeForce RTX 5060, 50, 3863, 8151, 57, 75.31
2026-09-02T20:22:03.406352+08:00,0, NVIDIA GeForce RTX 5060, 50, 3873, 8151, 58, 75.56
2026-09-02T20:22:08.452532+08:00,0, NVIDIA GeForce RTX 5060, 43, 3857, 8151, 59, 74.34
2026-09-02T20:22:13.487119+08:00,0, NVIDIA GeForce RTX 5060, 48, 3862, 8151, 60, 74.78
2026-09-02T20:22:18.530649+08:00,0, NVIDIA GeForce RTX 5060, 14, 3848, 8151, 51, 36.27
2026-09-02T20:22:23.576944+08:00,0, NVIDIA GeForce RTX 5060, 15, 3872, 8151, 50, 35.39
2026-09-02T20:22:28.619902+08:00,0, NVIDIA GeForce RTX 5060, 52, 3857, 8151, 58, 74.53
2026-09-02T20:22:33.654123+08:00,0, NVIDIA GeForce RTX 5060, 50, 3868, 8151, 57, 72.94
2026-09-02T20:22:38.697709+08:00,0, NVIDIA GeForce RTX 5060, 45, 3844, 8151, 59, 75.25
2026-09-02T20:22:43.741299+08:00,0, NVIDIA GeForce RTX 5060, 46, 3866, 8151, 57, 74.03
2026-09-02T20:22:48.799921+08:00,0, NVIDIA GeForce RTX 5060, 47, 3858, 8151, 60, 74.46
2026-09-02T20:22:53.841501+08:00,0, NVIDIA GeForce RTX 5060, 51, 3866, 8151, 56, 73.92
2026-09-02T20:22:58.877377+08:00,0, NVIDIA GeForce RTX 5060, 49, 3868, 8151, 57, 73.16
2026-09-02T20:23:03.918065+08:00,0, NVIDIA GeForce RTX 5060, 51, 3869, 8151, 59, 75.81
2026-09-02T20:23:08.955814+08:00,0, NVIDIA GeForce RTX 5060, 50, 3854, 8151, 60, 75.33
2026-09-02T20:23:13.996212+08:00,0, NVIDIA GeForce RTX 5060, 15, 3865, 8151, 52, 36.34
2026-09-02T20:23:19.044126+08:00,0, NVIDIA GeForce RTX 5060, 14, 3843, 8151, 54, 35.50
2026-09-02T20:23:24.083391+08:00,0, NVIDIA GeForce RTX 5060, 48, 3873, 8151, 57, 70.67
2026-09-02T20:23:29.117186+08:00,0, NVIDIA GeForce RTX 5060, 45, 3873, 8151, 56, 74.04
2026-09-02T20:23:34.171078+08:00,0, NVIDIA GeForce RTX 5060, 50, 3859, 8151, 56, 75.21
2026-09-02T20:23:39.212311+08:00,0, NVIDIA GeForce RTX 5060, 53, 3884, 8151, 58, 75.34
2026-09-02T20:23:44.273130+08:00,0, NVIDIA GeForce RTX 5060, 49, 3872, 8151, 56, 73.29
2026-09-02T20:23:49.320278+08:00,0, NVIDIA GeForce RTX 5060, 44, 3864, 8151, 59, 73.54
2026-09-02T20:23:54.370636+08:00,0, NVIDIA GeForce RTX 5060, 42, 3874, 8151, 56, 68.42
2026-09-02T20:23:59.410365+08:00,0, NVIDIA GeForce RTX 5060, 46, 3864, 8151, 59, 67.88
2026-09-02T20:24:04.455572+08:00,0, NVIDIA GeForce RTX 5060, 45, 3863, 8151, 58, 71.17
2026-09-02T20:24:09.543584+08:00,0, NVIDIA GeForce RTX 5060, 5, 3864, 8151, 54, 33.27
2026-09-02T20:24:14.586133+08:00,0, NVIDIA GeForce RTX 5060, 15, 3863, 8151, 50, 32.59
2026-09-02T20:24:19.619891+08:00,0, NVIDIA GeForce RTX 5060, 47, 3864, 8151, 57, 74.06
2026-09-02T20:24:24.671436+08:00,0, NVIDIA GeForce RTX 5060, 46, 3873, 8151, 56, 74.35
2026-09-02T20:24:29.712701+08:00,0, NVIDIA GeForce RTX 5060, 52, 3867, 8151, 57, 73.95
2026-09-02T20:24:34.744630+08:00,0, NVIDIA GeForce RTX 5060, 52, 3876, 8151, 58, 74.72
2026-09-02T20:24:39.794265+08:00,0, NVIDIA GeForce RTX 5060, 45, 3863, 8151, 59, 74.19
2026-09-02T20:24:44.854771+08:00,0, NVIDIA GeForce RTX 5060, 43, 3864, 8151, 59, 74.19
2026-09-02T20:24:49.917381+08:00,0, NVIDIA GeForce RTX 5060, 55, 3863, 8151, 58, 75.51
2026-09-02T20:24:54.960457+08:00,0, NVIDIA GeForce RTX 5060, 46, 3858, 8151, 58, 74.72
2026-09-02T20:25:00.002746+08:00,0, NVIDIA GeForce RTX 5060, 47, 3874, 8151, 58, 73.83
