seed,best_epoch,mae,rmse,r2,pr_auc,test_mae,test_rmse,test_r2,test_pr_auc,checkpoint
42,93,0.017119383439421654,0.03920884880574543,0.8823292851448059,0.9275750111595076,0.016449131071567535,0.037609853871414606,0.8898906707763672,0.9410192032678509,outputs/angle_ensemble/seed_42/best_model.pt
123,100,0.018055381253361702,0.03928330273573643,0.8818819522857666,0.9295011451095285,0.017023378983139992,0.037901136572322656,0.8881785273551941,0.930223833783439,outputs/angle_ensemble/seed_123/best_model.pt
2026,76,0.01730000600218773,0.038856658395963695,0.8844337463378906,0.935985423695451,0.01678014174103737,0.03763465485211796,0.8897454142570496,0.9336712091137473,outputs/angle_ensemble/seed_2026/best_model.pt
3407,75,0.01706448756158352,0.038465135893899174,0.8867509365081787,0.9299718899356214,0.016657164320349693,0.037199635283727744,0.8922795653343201,0.9416476745738623,outputs/angle_ensemble/seed_3407/best_model.pt
7777,85,0.017523018643260002,0.03954481444855527,0.8803040981292725,0.9296198741736307,0.016740430146455765,0.03749506130579468,0.8905618190765381,0.9373711746453413,outputs/angle_ensemble/seed_7777/best_model.pt
