timestamp,index,name,utilization_gpu_pct,memory_used_mib,memory_total_mib,temperature_c,power_w
2026-09-01T20:25:18.840444+08:00,0, NVIDIA GeForce RTX 5060, 38, 7591, 8151, 54, 46.60
2026-09-01T20:25:24.363761+08:00,0, NVIDIA GeForce RTX 5060, 88, 7652, 8151, 61, 89.22
2026-09-01T20:25:24.412269+08:00,0, NVIDIA GeForce RTX 5060, 16, 7654, 8151, 54, 57.85
2026-09-01T20:25:29.449538+08:00,0, NVIDIA GeForce RTX 5060, 78, 7626, 8151, 53, 54.40
2026-09-01T20:25:29.504060+08:00,0, NVIDIA GeForce RTX 5060, 78, 7585, 8151, 53, 59.31
2026-09-01T20:25:34.509715+08:00,0, NVIDIA GeForce RTX 5060, 81, 7511, 8151, 61, 89.67
2026-09-01T20:25:34.619765+08:00,0, NVIDIA GeForce RTX 5060, 81, 7523, 8151, 61, 89.67
2026-09-01T20:25:39.737568+08:00,0, NVIDIA GeForce RTX 5060, 29, 7505, 8151, 53, 57.34
2026-09-01T20:25:39.805286+08:00,0, NVIDIA GeForce RTX 5060, 27, 7467, 8151, 53, 46.09
2026-09-01T20:25:44.780748+08:00,0, NVIDIA GeForce RTX 5060, 86, 7506, 8151, 62, 80.95
2026-09-01T20:25:44.854242+08:00,0, NVIDIA GeForce RTX 5060, 83, 7506, 8151, 62, 91.80
2026-09-01T20:25:50.253056+08:00,0, NVIDIA GeForce RTX 5060, 100, 7469, 8151, 58, 75.39
2026-09-01T20:25:50.283964+08:00,0, NVIDIA GeForce RTX 5060, 100, 7473, 8151, 54, 56.17
2026-09-01T20:25:55.339981+08:00,0, NVIDIA GeForce RTX 5060, 85, 7430, 8151, 61, 96.30
2026-09-01T20:25:56.245831+08:00,0, NVIDIA GeForce RTX 5060, 85, 7453, 8151, 61, 96.30
2026-09-01T20:26:00.503760+08:00,0, NVIDIA GeForce RTX 5060, 24, 7425, 8151, 54, 48.54
2026-09-01T20:26:01.297900+08:00,0, NVIDIA GeForce RTX 5060, 85, 7441, 8151, 61, 75.97
2026-09-01T20:26:05.539276+08:00,0, NVIDIA GeForce RTX 5060, 85, 7435, 8151, 62, 81.48
2026-09-01T20:26:06.899868+08:00,0, NVIDIA GeForce RTX 5060, 16, 7445, 8151, 56, 72.13
2026-09-01T20:26:11.260680+08:00,0, NVIDIA GeForce RTX 5060, 19, 7401, 8151, 54, 70.18
2026-09-01T20:26:11.959318+08:00,0, NVIDIA GeForce RTX 5060, 80, 7364, 8151, 57, 69.17
2026-09-01T20:26:16.313934+08:00,0, NVIDIA GeForce RTX 5060, 71, 7450, 8151, 53, 51.42
2026-09-01T20:26:17.027426+08:00,0, NVIDIA GeForce RTX 5060, 72, 7442, 8151, 59, 91.57
2026-09-01T20:26:22.222910+08:00,0, NVIDIA GeForce RTX 5060, 86, 7420, 8151, 61, 93.90
2026-09-01T20:26:22.270068+08:00,0, NVIDIA GeForce RTX 5060, 21, 7416, 8151, 53, 46.41
2026-09-01T20:26:27.278966+08:00,0, NVIDIA GeForce RTX 5060, 87, 7416, 8151, 61, 84.31
2026-09-01T20:26:27.315178+08:00,0, NVIDIA GeForce RTX 5060, 87, 7416, 8151, 61, 88.24
2026-09-01T20:26:33.206714+08:00,0, NVIDIA GeForce RTX 5060, 29, 7414, 8151, 55, 61.20
2026-09-01T20:26:33.251866+08:00,0, NVIDIA GeForce RTX 5060, 21, 7381, 8151, 53, 37.92
2026-09-01T20:26:38.308390+08:00,0, NVIDIA GeForce RTX 5060, 89, 7373, 8151, 58, 69.03
2026-09-01T20:26:38.344004+08:00,0, NVIDIA GeForce RTX 5060, 89, 7373, 8151, 58, 69.03
2026-09-01T20:26:44.127931+08:00,0, NVIDIA GeForce RTX 5060, 27, 7415, 8151, 54, 64.83
2026-09-01T20:26:44.186820+08:00,0, NVIDIA GeForce RTX 5060, 13, 7425, 8151, 53, 37.68
2026-09-01T20:26:49.172276+08:00,0, NVIDIA GeForce RTX 5060, 78, 7434, 8151, 59, 71.15
2026-09-01T20:26:49.222311+08:00,0, NVIDIA GeForce RTX 5060, 88, 7434, 8151, 59, 77.17
2026-09-01T20:26:54.711983+08:00,0, NVIDIA GeForce RTX 5060, 32, 7442, 8151, 55, 70.34
2026-09-01T20:26:54.763977+08:00,0, NVIDIA GeForce RTX 5060, 26, 7452, 8151, 53, 45.35
2026-09-01T20:26:59.756453+08:00,0, NVIDIA GeForce RTX 5060, 77, 7440, 8151, 60, 82.75
2026-09-01T20:26:59.819232+08:00,0, NVIDIA GeForce RTX 5060, 81, 7440, 8151, 60, 84.24
2026-09-01T20:27:05.455071+08:00,0, NVIDIA GeForce RTX 5060, 33, 7479, 8151, 57, 72.25
2026-09-01T20:27:05.574435+08:00,0, NVIDIA GeForce RTX 5060, 17, 7410, 8151, 53, 40.97
2026-09-01T20:27:10.517107+08:00,0, NVIDIA GeForce RTX 5060, 80, 7391, 8151, 60, 74.35
2026-09-01T20:27:10.617975+08:00,0, NVIDIA GeForce RTX 5060, 75, 7391, 8151, 60, 79.87
2026-09-01T20:27:16.150223+08:00,0, NVIDIA GeForce RTX 5060, 24, 7333, 8151, 54, 67.56
2026-09-01T20:27:16.179762+08:00,0, NVIDIA GeForce RTX 5060, 23, 7406, 8151, 53, 40.95
2026-09-01T20:27:21.214363+08:00,0, NVIDIA GeForce RTX 5060, 85, 7409, 8151, 61, 85.36
2026-09-01T20:27:21.243202+08:00,0, NVIDIA GeForce RTX 5060, 83, 7409, 8151, 61, 85.36
2026-09-01T20:27:26.660794+08:00,0, NVIDIA GeForce RTX 5060, 26, 7440, 8151, 55, 67.67
2026-09-01T20:27:26.695501+08:00,0, NVIDIA GeForce RTX 5060, 27, 7440, 8151, 55, 43.88
2026-09-01T20:27:31.694398+08:00,0, NVIDIA GeForce RTX 5060, 91, 7402, 8151, 60, 73.24
2026-09-01T20:27:31.735070+08:00,0, NVIDIA GeForce RTX 5060, 91, 7402, 8151, 60, 78.80
2026-09-01T20:27:37.028697+08:00,0, NVIDIA GeForce RTX 5060, 22, 7392, 8151, 55, 64.09
2026-09-01T20:27:37.063475+08:00,0, NVIDIA GeForce RTX 5060, 27, 7388, 8151, 55, 46.22
2026-09-01T20:27:42.069366+08:00,0, NVIDIA GeForce RTX 5060, 84, 7416, 8151, 63, 78.40
2026-09-01T20:27:42.097312+08:00,0, NVIDIA GeForce RTX 5060, 84, 7414, 8151, 63, 84.67
2026-09-01T20:27:47.557997+08:00,0, NVIDIA GeForce RTX 5060, 35, 7408, 8151, 55, 71.47
2026-09-01T20:27:47.622146+08:00,0, NVIDIA GeForce RTX 5060, 23, 7361, 8151, 54, 47.49
2026-09-01T20:27:52.593998+08:00,0, NVIDIA GeForce RTX 5060, 87, 7338, 8151, 62, 79.37
2026-09-01T20:27:52.658680+08:00,0, NVIDIA GeForce RTX 5060, 86, 7338, 8151, 62, 85.78
2026-09-01T20:27:58.194302+08:00,0, NVIDIA GeForce RTX 5060, 25, 7350, 8151, 55, 70.90
2026-09-01T20:27:58.241825+08:00,0, NVIDIA GeForce RTX 5060, 18, 7354, 8151, 54, 38.08
2026-09-01T20:28:03.237062+08:00,0, NVIDIA GeForce RTX 5060, 86, 7365, 8151, 61, 77.25
2026-09-01T20:28:03.277077+08:00,0, NVIDIA GeForce RTX 5060, 86, 7365, 8151, 61, 77.25
2026-09-01T20:28:09.008727+08:00,0, NVIDIA GeForce RTX 5060, 32, 7327, 8151, 62, 85.28
2026-09-01T20:28:09.067018+08:00,0, NVIDIA GeForce RTX 5060, 22, 7319, 8151, 54, 40.40
2026-09-01T20:28:14.045183+08:00,0, NVIDIA GeForce RTX 5060, 85, 7410, 8151, 62, 74.88
2026-09-01T20:28:14.107602+08:00,0, NVIDIA GeForce RTX 5060, 85, 7410, 8151, 62, 81.36
2026-09-01T20:28:19.551514+08:00,0, NVIDIA GeForce RTX 5060, 23, 7312, 8151, 55, 76.15
2026-09-01T20:28:19.595660+08:00,0, NVIDIA GeForce RTX 5060, 32, 7284, 8151, 55, 41.30
2026-09-01T20:28:24.589937+08:00,0, NVIDIA GeForce RTX 5060, 85, 7323, 8151, 62, 89.29
2026-09-01T20:28:24.641306+08:00,0, NVIDIA GeForce RTX 5060, 85, 7323, 8151, 62, 95.74
2026-09-01T20:28:29.888653+08:00,0, NVIDIA GeForce RTX 5060, 27, 7370, 8151, 55, 64.36
2026-09-01T20:28:29.926159+08:00,0, NVIDIA GeForce RTX 5060, 30, 7360, 8151, 55, 47.01
2026-09-01T20:28:34.923731+08:00,0, NVIDIA GeForce RTX 5060, 86, 7328, 8151, 61, 79.97
2026-09-01T20:28:34.961494+08:00,0, NVIDIA GeForce RTX 5060, 86, 7328, 8151, 61, 79.97
2026-09-01T20:28:40.643619+08:00,0, NVIDIA GeForce RTX 5060, 47, 7334, 8151, 61, 77.62
2026-09-01T20:28:40.691421+08:00,0, NVIDIA GeForce RTX 5060, 31, 7323, 8151, 55, 43.32
2026-09-01T20:28:45.688019+08:00,0, NVIDIA GeForce RTX 5060, 18, 7378, 8151, 54, 38.01
2026-09-01T20:28:45.728893+08:00,0, NVIDIA GeForce RTX 5060, 18, 7378, 8151, 54, 43.37
2026-09-01T20:28:50.725178+08:00,0, NVIDIA GeForce RTX 5060, 30, 7343, 8151, 54, 45.28
2026-09-01T20:28:50.769488+08:00,0, NVIDIA GeForce RTX 5060, 30, 7343, 8151, 54, 45.28
2026-09-01T20:28:55.781565+08:00,0, NVIDIA GeForce RTX 5060, 63, 7335, 8151, 61, 73.72
2026-09-01T20:28:55.825219+08:00,0, NVIDIA GeForce RTX 5060, 3, 7335, 8151, 61, 73.73
2026-09-01T20:29:01.332677+08:00,0, NVIDIA GeForce RTX 5060, 18, 7386, 8151, 57, 71.30
2026-09-01T20:29:01.379042+08:00,0, NVIDIA GeForce RTX 5060, 29, 7395, 8151, 54, 44.73
2026-09-01T20:29:06.368818+08:00,0, NVIDIA GeForce RTX 5060, 85, 7332, 8151, 61, 88.68
2026-09-01T20:29:06.420466+08:00,0, NVIDIA GeForce RTX 5060, 86, 7332, 8151, 61, 94.93
2026-09-01T20:29:11.763930+08:00,0, NVIDIA GeForce RTX 5060, 25, 7382, 8151, 56, 63.68
2026-09-01T20:29:11.816806+08:00,0, NVIDIA GeForce RTX 5060, 26, 7388, 8151, 56, 46.83
2026-09-01T20:29:16.815821+08:00,0, NVIDIA GeForce RTX 5060, 85, 7358, 8151, 62, 79.66
2026-09-01T20:29:16.855271+08:00,0, NVIDIA GeForce RTX 5060, 85, 7358, 8151, 62, 79.66
2026-09-01T20:29:22.355095+08:00,0, NVIDIA GeForce RTX 5060, 24, 7386, 8151, 60, 85.50
2026-09-01T20:29:22.388246+08:00,0, NVIDIA GeForce RTX 5060, 25, 7372, 8151, 55, 55.16
2026-09-01T20:29:27.402998+08:00,0, NVIDIA GeForce RTX 5060, 88, 7416, 8151, 62, 80.37
2026-09-01T20:29:27.426380+08:00,0, NVIDIA GeForce RTX 5060, 87, 7416, 8151, 62, 80.37
2026-09-01T20:29:32.664678+08:00,0, NVIDIA GeForce RTX 5060, 27, 7399, 8151, 56, 69.61
2026-09-01T20:29:32.696234+08:00,0, NVIDIA GeForce RTX 5060, 31, 7405, 8151, 56, 58.17
2026-09-01T20:29:38.680977+08:00,0, NVIDIA GeForce RTX 5060, 76, 7428, 8151, 63, 98.24
2026-09-01T20:29:38.699818+08:00,0, NVIDIA GeForce RTX 5060, 20, 7418, 8151, 55, 42.32
2026-09-01T20:29:43.729586+08:00,0, NVIDIA GeForce RTX 5060, 83, 7412, 8151, 63, 95.46
2026-09-01T20:29:43.743539+08:00,0, NVIDIA GeForce RTX 5060, 83, 7412, 8151, 63, 95.46
2026-09-01T20:29:49.095024+08:00,0, NVIDIA GeForce RTX 5060, 32, 7355, 8151, 55, 68.56
2026-09-01T20:29:49.181987+08:00,0, NVIDIA GeForce RTX 5060, 23, 7419, 8151, 55, 49.49
2026-09-01T20:29:54.151912+08:00,0, NVIDIA GeForce RTX 5060, 60, 7450, 8151, 59, 50.16
2026-09-01T20:29:54.230552+08:00,0, NVIDIA GeForce RTX 5060, 73, 7450, 8151, 59, 54.11
2026-09-01T20:29:59.193336+08:00,0, NVIDIA GeForce RTX 5060, 85, 7396, 8151, 62, 75.45
2026-09-01T20:29:59.266226+08:00,0, NVIDIA GeForce RTX 5060, 87, 7396, 8151, 62, 86.05
2026-09-01T20:30:05.068951+08:00,0, NVIDIA GeForce RTX 5060, 24, 7433, 8151, 59, 79.35
2026-09-01T20:30:05.105674+08:00,0, NVIDIA GeForce RTX 5060, 31, 7423, 8151, 54, 38.18
2026-09-01T20:30:11.111522+08:00,0, NVIDIA GeForce RTX 5060, 68, 7449, 8151, 59, 90.18
2026-09-01T20:30:11.158965+08:00,0, NVIDIA GeForce RTX 5060, 24, 7447, 8151, 54, 39.59
2026-09-01T20:30:16.172257+08:00,0, NVIDIA GeForce RTX 5060, 81, 7451, 8151, 63, 72.25
2026-09-01T20:30:16.210508+08:00,0, NVIDIA GeForce RTX 5060, 80, 7451, 8151, 63, 74.75
2026-09-01T20:30:21.233404+08:00,0, NVIDIA GeForce RTX 5060, 81, 7412, 8151, 60, 88.29
2026-09-01T20:30:21.315762+08:00,0, NVIDIA GeForce RTX 5060, 81, 7412, 8151, 60, 88.29
2026-09-01T20:30:26.841930+08:00,0, NVIDIA GeForce RTX 5060, 29, 7443, 8151, 55, 55.64
2026-09-01T20:30:26.882223+08:00,0, NVIDIA GeForce RTX 5060, 21, 7439, 8151, 54, 37.76
2026-09-01T20:30:31.888749+08:00,0, NVIDIA GeForce RTX 5060, 83, 7443, 8151, 62, 92.30
2026-09-01T20:30:32.944885+08:00,0, NVIDIA GeForce RTX 5060, 83, 7443, 8151, 62, 97.98
2026-09-01T20:30:37.754967+08:00,0, NVIDIA GeForce RTX 5060, 47, 7414, 8151, 60, 75.82
2026-09-01T20:30:38.018531+08:00,0, NVIDIA GeForce RTX 5060, 40, 7416, 8151, 54, 51.22
2026-09-01T20:30:43.978993+08:00,0, NVIDIA GeForce RTX 5060, 78, 7434, 8151, 63, 96.57
2026-09-01T20:30:44.028235+08:00,0, NVIDIA GeForce RTX 5060, 30, 7430, 8151, 55, 38.40
2026-09-01T20:30:49.034145+08:00,0, NVIDIA GeForce RTX 5060, 89, 7459, 8151, 54, 55.64
2026-09-01T20:30:49.087951+08:00,0, NVIDIA GeForce RTX 5060, 89, 7459, 8151, 54, 55.64
2026-09-01T20:30:55.101416+08:00,0, NVIDIA GeForce RTX 5060, 78, 7369, 8151, 58, 94.52
2026-09-01T20:30:55.133689+08:00,0, NVIDIA GeForce RTX 5060, 25, 7443, 8151, 54, 38.09
2026-09-01T20:31:00.153008+08:00,0, NVIDIA GeForce RTX 5060, 78, 7449, 8151, 61, 62.95
2026-09-01T20:31:00.180928+08:00,0, NVIDIA GeForce RTX 5060, 78, 7449, 8151, 61, 62.95
2026-09-01T20:31:05.929039+08:00,0, NVIDIA GeForce RTX 5060, 12, 7467, 8151, 57, 77.52
2026-09-01T20:31:05.980587+08:00,0, NVIDIA GeForce RTX 5060, 26, 7455, 8151, 54, 45.67
2026-09-01T20:31:10.984677+08:00,0, NVIDIA GeForce RTX 5060, 72, 7425, 8151, 59, 71.54
2026-09-01T20:31:11.022330+08:00,0, NVIDIA GeForce RTX 5060, 84, 7424, 8151, 59, 73.87
2026-09-01T20:31:16.036833+08:00,0, NVIDIA GeForce RTX 5060, 10, 7463, 8151, 58, 51.28
2026-09-01T20:31:16.076683+08:00,0, NVIDIA GeForce RTX 5060, 10, 7463, 8151, 58, 51.28
2026-09-01T20:31:22.155611+08:00,0, NVIDIA GeForce RTX 5060, 23, 7430, 8151, 54, 65.97
2026-09-01T20:31:22.189444+08:00,0, NVIDIA GeForce RTX 5060, 20, 7436, 8151, 53, 37.60
2026-09-01T20:31:27.209208+08:00,0, NVIDIA GeForce RTX 5060, 83, 7442, 8151, 59, 69.53
2026-09-01T20:31:27.243142+08:00,0, NVIDIA GeForce RTX 5060, 85, 7442, 8151, 59, 69.53
2026-09-01T20:31:32.264697+08:00,0, NVIDIA GeForce RTX 5060, 81, 7416, 8151, 61, 85.35
2026-09-01T20:31:32.292933+08:00,0, NVIDIA GeForce RTX 5060, 81, 7416, 8151, 61, 85.35
2026-09-01T20:31:38.317868+08:00,0, NVIDIA GeForce RTX 5060, 21, 7407, 8151, 57, 78.90
2026-09-01T20:31:38.378408+08:00,0, NVIDIA GeForce RTX 5060, 14, 7373, 8151, 53, 37.57
2026-09-01T20:31:43.370599+08:00,0, NVIDIA GeForce RTX 5060, 83, 7420, 8151, 60, 77.20
2026-09-01T20:31:43.429558+08:00,0, NVIDIA GeForce RTX 5060, 82, 7420, 8151, 60, 86.99
2026-09-01T20:31:49.373887+08:00,0, NVIDIA GeForce RTX 5060, 73, 7460, 8151, 61, 92.65
2026-09-01T20:31:49.429890+08:00,0, NVIDIA GeForce RTX 5060, 27, 7450, 8151, 53, 38.49
2026-09-01T20:31:54.454184+08:00,0, NVIDIA GeForce RTX 5060, 77, 7487, 8151, 55, 60.81
2026-09-01T20:31:54.493595+08:00,0, NVIDIA GeForce RTX 5060, 77, 7487, 8151, 55, 60.81
2026-09-01T20:32:00.569500+08:00,0, NVIDIA GeForce RTX 5060, 60, 7459, 8151, 61, 92.95
2026-09-01T20:32:00.633867+08:00,0, NVIDIA GeForce RTX 5060, 23, 7462, 8151, 53, 37.99
2026-09-01T20:32:05.636309+08:00,0, NVIDIA GeForce RTX 5060, 85, 7472, 8151, 61, 75.81
2026-09-01T20:32:05.685031+08:00,0, NVIDIA GeForce RTX 5060, 85, 7472, 8151, 61, 75.81
2026-09-01T20:32:10.774559+08:00,0, NVIDIA GeForce RTX 5060, 22, 7505, 8151, 54, 64.77
2026-09-01T20:32:10.826108+08:00,0, NVIDIA GeForce RTX 5060, 33, 7502, 8151, 54, 48.84
2026-09-01T20:32:15.835280+08:00,0, NVIDIA GeForce RTX 5060, 85, 7445, 8151, 61, 92.06
2026-09-01T20:32:15.869711+08:00,0, NVIDIA GeForce RTX 5060, 85, 7445, 8151, 61, 92.06
2026-09-01T20:32:20.996381+08:00,0, NVIDIA GeForce RTX 5060, 28, 7460, 8151, 54, 48.88
2026-09-01T20:32:21.031752+08:00,0, NVIDIA GeForce RTX 5060, 17, 7522, 8151, 54, 42.95
2026-09-01T20:32:26.056432+08:00,0, NVIDIA GeForce RTX 5060, 79, 7528, 8151, 54, 61.86
2026-09-01T20:32:26.080649+08:00,0, NVIDIA GeForce RTX 5060, 79, 7528, 8151, 54, 61.86
2026-09-01T20:32:31.867176+08:00,0, NVIDIA GeForce RTX 5060, 19, 7495, 8151, 55, 79.58
2026-09-01T20:32:31.899717+08:00,0, NVIDIA GeForce RTX 5060, 27, 7495, 8151, 54, 37.89
2026-09-01T20:32:36.911795+08:00,0, NVIDIA GeForce RTX 5060, 85, 7462, 8151, 60, 76.64
