seed,epoch,loss,val_mae,seconds,peak_gpu_mib
42,1,0.20292636586560142,0.09167090058326721,2.7755869709999956,1844.060546875
42,2,0.164351557691892,0.08501110225915909,0.9598237360000041,1844.060546875
42,3,0.15161426862080893,0.07505501806735992,0.962981472000024,1844.060546875
42,4,0.13938768870300716,0.06812869012355804,0.9478150959999994,1844.060546875
42,5,0.12536262886391747,0.06342816352844238,0.9153456360000405,1844.060546875
42,6,0.12018050170607036,0.05798735097050667,0.9412044979999905,1844.060546875
42,7,0.11231153127219942,0.05388430133461952,0.9167013830000315,1844.060546875
42,8,0.10412503282229106,0.04913629591464996,0.9418322509999939,1844.060546875
42,9,0.0975644596748882,0.045571498572826385,0.9372532840000076,1844.060546875
42,10,0.0906370191110505,0.04180140420794487,0.9457513589999849,1844.060546875
42,11,0.08290477097034454,0.038346704095602036,0.9327138300000115,1844.060546875
42,12,0.07563967630267143,0.034314993768930435,0.944927894999978,1844.060546875
42,13,0.07222424902849728,0.0316852405667305,0.9488541240000359,1844.060546875
42,14,0.06833134219050407,0.029456958174705505,0.9227355119999743,1844.060546875
42,15,0.06288894969556066,0.027638504281640053,0.9276026009999896,1844.060546875
42,16,0.06183823032511605,0.026440387591719627,0.9201582970000004,1844.060546875
42,17,0.056727397773000926,0.024408331140875816,0.9360253989999592,1844.060546875
42,18,0.05594705955849753,0.023551197722554207,0.9419005369999809,1844.060546875
42,19,0.05306886674629317,0.022077592089772224,0.924552656000003,1844.060546875
42,20,0.04710956414540609,0.021301107481122017,0.9245353009999917,1844.060546875
42,21,0.04541915779312452,0.019576504826545715,0.9284435590000157,1844.060546875
42,22,0.045997243374586105,0.01894220896065235,0.9209232149999593,1844.060546875
42,23,0.042931827820009656,0.0179649256169796,0.9094060769999714,1844.060546875
42,24,0.03981936350464821,0.0173444002866745,0.9255093020000231,1844.060546875
42,25,0.03835208838184675,0.01697191409766674,0.9306253029999993,1844.060546875
42,26,0.0396152933438619,0.01666184701025486,0.9398748950000027,1844.060546875
42,27,0.03687000605795118,0.015986446291208267,0.9168248490000224,1844.060546875
42,28,0.03635212882525391,0.016233181580901146,0.9320676819999676,1844.060546875
42,29,0.03550392637650172,0.016151629388332367,0.9474802530000375,1844.060546875
42,30,0.033539230624834694,0.015173530206084251,0.9503396299999736,1844.060546875
42,31,0.03301166142854425,0.014588474296033382,0.9536124399999721,1844.060546875
42,32,0.03274143901136187,0.015156364068388939,0.9540644619999625,1844.060546875
42,33,0.03332101284629769,0.014681931585073471,0.9734965279999983,1844.060546875
42,34,0.03141877055168152,0.01482278574258089,0.958881410999993,1844.060546875
42,35,0.028645067786176998,0.014198076911270618,0.923896663999983,1844.060546875
42,36,0.029766008361346193,0.013423360884189606,0.9236629100000187,1844.060546875
42,37,0.029099390531579655,0.014043495990335941,0.929876806999971,1844.060546875
42,38,0.026329654165440135,0.014206506311893463,0.9391353670000058,1844.060546875
42,39,0.027645457949903276,0.013575549237430096,0.9343274999999949,1844.060546875
42,40,0.02623479813337326,0.013845996931195259,0.9195937289999847,1844.060546875
42,41,0.028284873399469588,0.013646855019032955,0.9347132249999959,1844.060546875
42,42,0.024287286318010755,0.014091158285737038,0.9221681650000164,1844.060546875
42,43,0.024958717533283763,0.014286601915955544,0.9393227080000202,1844.060546875
42,44,0.0244500283151865,0.013488664291799068,0.9363033409999844,1844.060546875
42,45,0.021938802777893014,0.014355435036122799,0.9189365309999857,1844.060546875
42,46,0.023235422869523365,0.013120698742568493,0.926602239000033,1844.060546875
42,47,0.024932918345762625,0.013485726900398731,0.9399293079999893,1844.060546875
42,48,0.024388219333357282,0.013329820707440376,0.9316816630000062,1844.060546875
42,49,0.019989332287675805,0.013682644814252853,0.9197064620000219,1844.060546875
42,50,0.02006965958409839,0.012681632302701473,0.9303869599999643,1844.060546875
42,51,0.02115193609562185,0.013155706226825714,0.9376734439999836,1844.060546875
42,52,0.020880763108531635,0.013107691891491413,0.9101946040000257,1844.060546875
42,53,0.019057598896324635,0.013483242131769657,0.9145034169999917,1844.060546875
42,54,0.018695147294137213,0.013969073072075844,0.9154952910000134,1844.060546875
42,55,0.01751631943302022,0.013427266851067543,0.9208591549999596,1844.060546875
42,56,0.018736987995604675,0.01335853897035122,0.9207804970000097,1844.060546875
42,57,0.0182193440074722,0.013274903409183025,0.9200732859999903,1844.060546875
42,58,0.01727892127301958,0.01299784705042839,0.9118217509999909,1844.060546875
42,59,0.017109124093419976,0.0130262840539217,0.9269665420000024,1844.060546875
42,60,0.016015345955060586,0.012615766376256943,0.9226949530000184,1844.060546875
42,61,0.015098224187062846,0.013075615279376507,0.9561494499999981,1844.060546875
42,62,0.014251137462755045,0.013004052452743053,0.9105341250000265,1844.060546875
42,63,0.015130257854859034,0.012631731107831001,0.9247780980000471,1844.060546875
42,64,0.013610680380629169,0.012025895528495312,0.9312222849999898,1844.060546875
42,65,0.014129537468155226,0.01195890549570322,0.9173828780000122,1844.060546875
42,66,0.012465283999012576,0.011909590102732182,0.9402884929999686,1844.060546875
42,67,0.012753795108033551,0.011982801370322704,0.929105308999965,1844.060546875
42,68,0.012960532783634134,0.012011745013296604,0.9087220139999772,1844.060546875
42,69,0.011625409591943026,0.011787000112235546,0.926596088999986,1844.060546875
42,70,0.011718087933129735,0.011189832352101803,0.943429951999974,1844.060546875
42,71,0.011014278564188216,0.011269154958426952,0.9120995789999711,1844.060546875
42,72,0.010976790502253506,0.010987546294927597,0.9264739669999926,1844.060546875
42,73,0.0112360841077235,0.011401121504604816,0.9511126520000062,1844.060546875
42,74,0.010394944498936335,0.010937614366412163,0.9238773400000468,1844.060546875
42,75,0.010083478306316666,0.01126791350543499,0.9169542850000312,1844.060546875
42,76,0.009777132680432664,0.011518657207489014,0.9150286800000345,1844.060546875
42,77,0.00982914451095793,0.011186433024704456,0.9319025159999796,1844.060546875
42,78,0.009608357213437557,0.010782566852867603,0.9291987770000105,1844.060546875
42,79,0.009979509438077608,0.010370919480919838,0.9296236650000083,1844.060546875
42,80,0.008966356722844971,0.010955102741718292,0.9436871209999822,1844.060546875
123,1,0.20503072771761152,0.08753111213445663,0.9778410650000069,1847.841796875
123,2,0.1637673063410653,0.08009665459394455,0.9303735960000381,1847.841796875
123,3,0.14986421995692784,0.07083184272050858,0.9472471500000097,1847.841796875
123,4,0.1373785361647606,0.06426219642162323,0.9296738050000499,1847.841796875
123,5,0.1277475075589286,0.05842343345284462,0.9431120309999983,1847.841796875
123,6,0.11641107830736372,0.05386717617511749,0.9295774080000001,1847.841796875
123,7,0.10902049971951379,0.04964112117886543,0.9321051620000276,1847.841796875
123,8,0.10154479493697484,0.04543345421552658,0.9243882399999848,1847.841796875
123,9,0.09328310274415547,0.04205133020877838,0.9375587010000004,1847.841796875
123,10,0.08701456834872563,0.03948209434747696,0.9577043099999969,1847.841796875
123,11,0.08363756537437439,0.03650849312543869,0.9359529390000034,1847.841796875
123,12,0.07739191088411543,0.034294165670871735,0.9315734549999775,1847.841796875
123,13,0.07341928324765629,0.03238367661833763,0.946125735999999,1847.841796875
123,14,0.06819520559575823,0.03061678819358349,0.9231943670000078,1847.841796875
123,15,0.06668227621250683,0.029151303693652153,0.9310533549999604,1847.841796875
123,16,0.06241761354936494,0.027830837294459343,0.9400240840000151,1847.841796875
123,17,0.05872726812958717,0.026247821748256683,0.920192328999974,1847.841796875
123,18,0.059977100127273135,0.02597024291753769,0.9177934699999923,1847.841796875
123,19,0.060038545893298254,0.024898232892155647,0.9188734769999769,1847.841796875
123,20,0.05473455828097132,0.02323576994240284,0.9486501229999931,1847.841796875
123,21,0.05257349544101291,0.023119645193219185,0.9129697420000298,1847.841796875
123,22,0.049873918294906616,0.021476011723279953,0.933591234000005,1847.841796875
123,23,0.04620902592109309,0.0206092968583107,0.9291470640000057,1847.841796875
123,24,0.04441394760376877,0.019932230934500694,0.9203450960000055,1847.841796875
123,25,0.0451140950123469,0.01943390816450119,0.9417730339999935,1847.841796875
123,26,0.04269720572564337,0.019199782982468605,0.9234548649999965,1847.841796875
123,27,0.040388886713319354,0.01787470653653145,0.9263964849999979,1847.841796875
123,28,0.038739010277721614,0.017091460525989532,0.9401592140000048,1847.841796875
123,29,0.04159047330419222,0.017490580677986145,0.919145479000008,1847.841796875
123,30,0.03667121773792638,0.016419293358922005,0.9372587230000136,1847.841796875
123,31,0.035577217323912516,0.016699107363820076,0.952118372999962,1847.841796875
123,32,0.034535384426514305,0.016115669161081314,0.9348282519999884,1847.841796875
123,33,0.033146764876113996,0.015712164342403412,0.9342916030000197,1847.841796875
123,34,0.0330786622232861,0.015721093863248825,0.9237946590000092,1847.841796875
123,35,0.03105274856918388,0.015132013708353043,0.9344321590000391,1847.841796875
123,36,0.03162716349793805,0.014373752288520336,0.9339737330000162,1847.841796875
123,37,0.03353663182093038,0.01426186878234148,0.9334614730000226,1847.841796875
123,38,0.030628923740651872,0.015353326685726643,0.9398590999999783,1847.841796875
123,39,0.03115162377556165,0.015230923891067505,0.9390818790000139,1847.841796875
123,40,0.027406949135992262,0.01385919377207756,0.9342417780000005,1847.841796875
123,41,0.02685621018624968,0.01383821852505207,0.9456825940000044,1847.841796875
123,42,0.025871176065670118,0.015336770564317703,0.9849110509999832,1847.841796875
123,43,0.02768317899770207,0.013270660303533077,0.9312654380000254,1847.841796875
123,44,0.02469667337006993,0.01480045821517706,0.9388804239999899,1847.841796875
123,45,0.02538892419801818,0.014344342052936554,0.9312900229999741,1847.841796875
123,46,0.02305439342227247,0.013931705616414547,0.9587459620000232,1847.841796875
123,47,0.022278195040093526,0.013063018210232258,0.9436199410000086,1847.841796875
123,48,0.0212393445480201,0.012725314125418663,0.9348701790000291,1847.841796875
123,49,0.02130370121449232,0.01241395715624094,0.9389708460000179,1847.841796875
123,50,0.022397757818301518,0.012333948165178299,0.9437135079999734,1847.841796875
123,51,0.02087000985112455,0.012510044500231743,0.9520691970000144,1847.841796875
123,52,0.019946292146212526,0.01277012750506401,0.9650232100000267,1847.841796875
123,53,0.019671598656309977,0.013529382646083832,0.9582144149999863,1847.841796875
123,54,0.020841340844829876,0.014003639109432697,0.9654991180000252,1847.841796875
123,55,0.018802358561919794,0.01245369203388691,0.9555422100000328,1847.841796875
123,56,0.01931640650663111,0.01222146674990654,0.9710600720000002,1847.841796875
123,57,0.01791369542479515,0.01201289426535368,0.9365687039999671,1847.841796875
123,58,0.01697608186966843,0.012497220188379288,0.92027364300003,1847.841796875
123,59,0.016448517847392295,0.01187100913375616,0.9542532769999639,1847.841796875
123,60,0.01780086610880163,0.012805664911866188,0.9389169020000168,1847.841796875
123,61,0.015096213151183393,0.012148771435022354,0.9524155729999961,1847.841796875
123,62,0.015884101390838623,0.01260759960860014,0.9660865539999577,1847.841796875
123,63,0.014391222192595402,0.012635905295610428,0.9502684260000365,1847.841796875
123,64,0.015239650280111365,0.011752240359783173,0.9479957820000209,1847.841796875
123,65,0.015085864501694838,0.011524651199579239,0.9353127690000065,1847.841796875
123,66,0.014007261126405664,0.011219915002584457,0.9304563939999753,1847.841796875
123,67,0.012609551350275675,0.010659193620085716,0.9594656730000111,1847.841796875
