seed,epoch,loss,delta_mae,absolute_mae,seconds,peak_gpu_mib
42,1,0.12497725819840151,0.04998248614952899,0.09475638210773468,9.535283957000047,1896.36376953125
42,2,0.09734421311055913,0.03718803574098274,0.09932042360305786,3.8056678080000097,1896.36376953125
42,3,0.08546168444787755,0.03131947675181437,0.0999295836687088,4.106836956000052,1896.36376953125
42,4,0.07260040391017408,0.028290439089469144,0.09938794434070587,4.126412796000011,1896.36376953125
42,5,0.06341831013560295,0.02243054372353072,0.10059848546981812,4.004879883000001,1896.36376953125
42,6,0.05899941986974548,0.02486972391692689,0.10051041424274444,4.20528755700002,1896.36376953125
42,7,0.05740803743109984,0.020172162960952846,0.10536480367183686,4.174176780000039,1896.36376953125
42,8,0.04974232756477945,0.01643255777860759,0.10383644819259644,3.9346382350000226,1896.36376953125
42,9,0.04428174565820133,0.015966044350061565,0.10572067320346833,3.431831718000012,1896.36376953125
42,10,0.04129929698127158,0.015399267144675832,0.10440138578414918,4.235892196999998,1896.36376953125
42,11,0.03989599612267578,0.016035487943299814,0.10348030626773834,4.79987071100004,1896.36376953125
42,12,0.03821733287152122,0.018623949824250304,0.10098027408123017,4.082875397000009,1896.36376953125
42,13,0.03633947276017245,0.016307000423694262,0.10456879079341888,4.2348992149999845,1896.36376953125
42,14,0.03279532831819618,0.017417228168196745,0.10128114879131317,4.516027989000008,1896.36376953125
42,15,0.029895195463562712,0.013653713185631204,0.10263037145137786,4.252953235999996,1896.36376953125
42,16,0.027937831631039873,0.014622222500474891,0.10278440296649932,4.024175578999973,1896.36376953125
42,17,0.02753786961821949,0.015744938670395642,0.10243086934089661,4.073243445000003,1896.36376953125
42,18,0.024599643862422776,0.01287087700649863,0.10378769993782043,4.012139011999977,1896.36376953125
42,19,0.021989720490048912,0.011899029098931351,0.10379727959632873,4.278098882999984,1896.36376953125
42,20,0.01991572609061704,0.013026107589976164,0.10316434442996979,3.956979728999954,1896.36376953125
42,21,0.019432083977495924,0.01037446234437084,0.10617826461791992,4.068257984000013,1896.36376953125
42,22,0.017103507950463715,0.01073328537051566,0.10259070932865143,3.9429037980000317,1896.36376953125
42,23,0.016888412482598248,0.013646151785505935,0.10177758991718293,4.083840985999984,1896.36376953125
42,24,0.015599537038189523,0.009336576185305603,0.10436702787876129,3.9162271760000067,1896.36376953125
42,25,0.013133112258990021,0.008841562377638184,0.10331165254116058,4.050649309999983,1896.36376953125
42,26,0.012479331892202883,0.009538612235919572,0.10330995678901672,4.0662074059999895,1896.36376953125
42,27,0.011783504365559886,0.008707471581583377,0.10264005422592164,4.126179444999991,1896.36376953125
42,28,0.010021230972865048,0.009593022783083143,0.10137206912040711,4.065816697999992,1896.36376953125
42,29,0.009084300411974682,0.010158679576124995,0.10238886296749115,4.136828309000009,1896.36376953125
