seed,epoch,loss,delta_mae,absolute_mae,seconds,peak_gpu_mib
42,1,0.208932522465201,0.050023666566121394,0.09069806218147278,4.786847186000159,1896.50927734375
42,2,0.174736887216568,0.037861724005197175,0.084590944647789,3.3067813319999004,1896.50927734375
42,3,0.15826856651726892,0.03279869252743083,0.07819448411464691,2.6536396820001755,1896.50927734375
42,4,0.1400270865244024,0.031053518233384238,0.0693623411655426,2.7053590010000335,1896.50927734375
42,5,0.11977150335031397,0.024085826845257542,0.06399183869361877,2.6145996499999455,1896.50927734375
42,6,0.10950392747626585,0.022108051572577097,0.0586118084192276,2.619642199000282,1896.50927734375
42,7,0.0983089896685937,0.021302192681469025,0.052421056628227235,2.6399673509999957,1896.50927734375
42,8,0.08723650302957087,0.017513861211482434,0.046306902766227724,2.598966990000008,1896.50927734375
42,9,0.07870973449419527,0.017362488100334302,0.04428613424301148,2.6018382580000434,1896.50927734375
42,10,0.07212753199479159,0.016184129340108485,0.03989197254180908,2.5546030919999794,1896.50927734375
42,11,0.06553044104400803,0.016363721750094554,0.03650768220424652,2.562326220000159,1896.50927734375
42,12,0.06086566934690756,0.01929916660184972,0.03966231346130371,2.5397736039999472,1896.50927734375
42,13,0.05483085936044946,0.017229905186977704,0.032013946771621705,2.6240645029997722,1896.50927734375
42,14,0.05014573453980334,0.015497632142505609,0.03253645122051239,2.6225159169998733,1896.50927734375
42,15,0.04519566477221601,0.016149867185667972,0.029657508134841918,2.5681189960000665,1896.50927734375
42,16,0.04139832122360959,0.016299976646259894,0.0242966890335083,2.6447298070002034,1896.50927734375
42,17,0.038517063374028486,0.013795963328448124,0.020560290813446045,2.6797385280001436,1896.50927734375
42,18,0.03345830596106894,0.013792906207672786,0.017970216274261475,2.670424789000208,1896.50927734375
42,19,0.03160488243926974,0.011658196686621523,0.0174283629655838,2.7443685279999954,1896.50927734375
42,20,0.02830041813499787,0.015319455928402021,0.015311089158058167,2.665723579999849,1896.50927734375
42,21,0.02697604105753057,0.011641944138682447,0.014134019613265991,2.622337901999799,1896.50927734375
42,22,0.025455844533794066,0.012882572443941172,0.015159344673156739,2.6366082389999974,1896.50927734375
42,23,0.02256613493184833,0.012516625068383292,0.013728821277618408,2.674500975000228,1896.50927734375
42,24,0.019736900432583165,0.011023783995769918,0.011462751030921935,2.6755627180000374,1896.50927734375
42,25,0.0189365842653548,0.010573108436074109,0.011286603808403016,2.7033655959999123,1896.50927734375
42,26,0.018324542242814514,0.011346309747968917,0.012022526860237122,2.6119800860001305,1896.50927734375
42,27,0.016954031060723698,0.009510321114357794,0.01011642038822174,2.662755802999982,1896.50927734375
42,28,0.015699459678109956,0.01407420983654447,0.013859913349151612,2.742186590000074,1896.50927734375
42,29,0.01536158614737146,0.013688208619132638,0.01648663103580475,2.6141694039997674,1896.50927734375
42,30,0.016035111237536457,0.009810377791000064,0.010676575303077697,2.613576112999908,1896.50927734375
42,31,0.016115536639357313,0.012692713960714173,0.012694911360740661,2.690566018000027,1896.50927734375
42,32,0.016332197989172795,0.010949522314040222,0.012420586347579955,2.6975712089997614,1896.50927734375
42,33,0.013781754409565646,0.00986412655794993,0.010374168157577515,2.734256292000282,1896.50927734375
42,34,0.011710621142650353,0.008890366883570096,0.012950709462165833,2.7174334309997903,1896.50927734375
42,35,0.010987963746575749,0.009566475811880082,0.00976889967918396,2.704655580000235,1896.50927734375
42,36,0.009574078133001047,0.007926332110073417,0.00895251214504242,2.7733674430000974,1896.50927734375
42,37,0.008835192276712726,0.008255616016685962,0.009605602622032165,2.8037559250001323,1896.50927734375
