structure_id,shard,offset,name,md5
63470640103349a28b1b6bf5,dataset/raw/structures/0031ea0663607b5da9affac8240492d6.json.gz,2,spuds_structure,e558d8e0cf250f3adbd679a48f7c6c90
63470640103349a28b1b6bf9,dataset/raw/structures/0031ea0663607b5da9affac8240492d6.json.gz,3,spuds_structure,6a6f54c9653228f97883b8f81cbf416f
63470640103349a28b1b6bfd,dataset/raw/structures/0031ea0663607b5da9affac8240492d6.json.gz,4,spuds_structure,3c11dd5c90a7199e3d50be730a8d7c9a
63470640660f1387211b6c28,dataset/raw/structures/0031ea0663607b5da9affac8240492d6.json.gz,5,spuds_structure,7046aa035490f8da236cedfcfcf28baa
63470640660f1387211b6c29,dataset/raw/structures/0031ea0663607b5da9affac8240492d6.json.gz,6,spuds_structure,54d267653f99bf31cdf1c44205398ece
63470641103349a28b1b6c00,dataset/raw/structures/0031ea0663607b5da9affac8240492d6.json.gz,7,spuds_structure,925095842d652fbf82a576d577c22c0d
634d946949b0ce94eb0d7cdc,dataset/raw/structures/0034f25734368f25ac7e9c9f04162080.json.gz,0,spuds_structure,4329fdabcfe78b43020e312a021766c2
634d946949b0ce94eb0d7cdd,dataset/raw/structures/0034f25734368f25ac7e9c9f04162080.json.gz,1,spuds_structure,07203b4d45b32420447ca16364c17592
634d946949b0ce94eb0d7cde,dataset/raw/structures/0034f25734368f25ac7e9c9f04162080.json.gz,2,spuds_structure,2f93f2e4fc5b6451918cb68fcfdcb3c1
634d9469d6d16c71eb0d6678,dataset/raw/structures/0034f25734368f25ac7e9c9f04162080.json.gz,3,spuds_structure,f50233c35d6ef5d819a57c6e27b5e42e
634d946a49b0ce94eb0d7ce3,dataset/raw/structures/0034f25734368f25ac7e9c9f04162080.json.gz,4,spuds_structure,a63bd1939f736ba93b2ab5b5b2f46eeb
634d946a49b0ce94eb0d7ce4,dataset/raw/structures/0034f25734368f25ac7e9c9f04162080.json.gz,5,spuds_structure,6e3f47bcf395d345597d6e1727997867
634d946a49b0ce94eb0d7ce8,dataset/raw/structures/0034f25734368f25ac7e9c9f04162080.json.gz,6,spuds_structure,0093f8430cac415a8aa477d8b1017443
634d946a49b0ce94eb0d7ce9,dataset/raw/structures/0034f25734368f25ac7e9c9f04162080.json.gz,7,spuds_structure,be2630d3aa7ff0c8cbd32b3998bac630
634714aa103349a28b1bdd93,dataset/raw/structures/0040fe3f6a7ae90752f448e3a189198f.json.gz,0,spuds_structure,ec5241441b230ab59ea1f2cf2a47b368
634714aa103349a28b1bdd95,dataset/raw/structures/0040fe3f6a7ae90752f448e3a189198f.json.gz,1,spuds_structure,14d086891d7a28cd5c383e3563923605
634714aa103349a28b1bdd97,dataset/raw/structures/0040fe3f6a7ae90752f448e3a189198f.json.gz,2,spuds_structure,cb45a9d6716c4f3109956fe4e85e82fe
634714aa103349a28b1bdd99,dataset/raw/structures/0040fe3f6a7ae90752f448e3a189198f.json.gz,3,spuds_structure,56e6ab1db949f132f12cb7ac616bbe1e
634714aa660f1387211bc984,dataset/raw/structures/0040fe3f6a7ae90752f448e3a189198f.json.gz,4,spuds_structure,e9fe6ad0b48c776dfe0e70304adf7dfc
634714aa660f1387211bc985,dataset/raw/structures/0040fe3f6a7ae90752f448e3a189198f.json.gz,5,spuds_structure,beb36eb62abba696a34631bc4c93d75b
634714aa660f1387211bc989,dataset/raw/structures/0040fe3f6a7ae90752f448e3a189198f.json.gz,6,spuds_structure,e6e88b33d82ef49dca6716b0f74d7e4c
634714aa660f1387211bc98c,dataset/raw/structures/0040fe3f6a7ae90752f448e3a189198f.json.gz,7,spuds_structure,42eb7d20e838126d679b39a3147d13b3
634d922a49b0ce94eb0d67b1,dataset/raw/structures/0041edd589ff4f9eada68dbb24408a08.json.gz,0,spuds_structure,9684a5af6d4159c410ffadd2c21067ed
634d922ad6d16c71eb0d5914,dataset/raw/structures/0041edd589ff4f9eada68dbb24408a08.json.gz,1,spuds_structure,5ee66a2475cc003d1e7020dbeadb1a09
634d922ad6d16c71eb0d5916,dataset/raw/structures/0041edd589ff4f9eada68dbb24408a08.json.gz,2,spuds_structure,1156aaa599be8d5ab96e919cb41cf862
634d922ad6d16c71eb0d5918,dataset/raw/structures/0041edd589ff4f9eada68dbb24408a08.json.gz,3,spuds_structure,f6e9ca026ed8db352fbd202dc492b5e0
634d922b49b0ce94eb0d67b3,dataset/raw/structures/0041edd589ff4f9eada68dbb24408a08.json.gz,4,spuds_structure,caa5c0316a7d5576ecff4e6870f9989c
634d922b49b0ce94eb0d67b4,dataset/raw/structures/0041edd589ff4f9eada68dbb24408a08.json.gz,5,spuds_structure,cced2bf2ab3633cb2ed601134db80d79
634d922b49b0ce94eb0d67b7,dataset/raw/structures/0041edd589ff4f9eada68dbb24408a08.json.gz,6,spuds_structure,b862bb5b726c5a98053f9a9cbb625d1b
